cve_ent,entidad,cve_alc,alc,cve_col,colonia,clasif,SISTEMA,NOMBRE,LINEA,EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,CVE_EST
09,Ciudad de México,010,Álvaro Obregón,010-083,Florida,Colonia,Metrobús,José María Velasco,01,31,11025,Intermedia,Benito Juárez / Álvaro Obregón,2005,MB0131
09,Ciudad de México,010,Álvaro Obregón,010-083,Florida,Colonia,Metrobús,Francia,01,32,11020,Intermedia,Álvaro Obregón,2005,MB0132
09,Ciudad de México,010,Álvaro Obregón,010-083,Florida,Colonia,Metrobús,Olivo,01,33,11033,Intermedia,Álvaro Obregón,2005,MB0133
09,Ciudad de México,010,Álvaro Obregón,010-079,Ex-Hacienda De Guadalupe Chimalistac,Colonia,Metrobús,Altavista,01,34,11001,Intermedia,Álvaro Obregón,2005,MB0134
09,Ciudad de México,010,Álvaro Obregón,010-051,Chimalistac,Colonia,Metrobús,La Bombilla,01,35,11026,Intermedia,Álvaro Obregón,2005,MB0135
09,Ciudad de México,010,Álvaro Obregón,010-051,Chimalistac,Colonia,Metrobús,Doctor Gálvez,01,36,11014,Terminal,Álvaro Obregón,2005,MB0136
09,Ciudad de México,003,Coyoacán,003-020,Ciudad Universitaria,Colonia,Metrobús,Cd. Universitaria,01,37,11010,Intermedia,Coyoacán,2008,MB0137
09,Ciudad de México,003,Coyoacán,003-020,Ciudad Universitaria,Colonia,Metrobús,C.C.U.,01,38,11006,Intermedia,Coyoacán,2008,MB0138
09,Ciudad de México,003,Coyoacán,003-058,Insurgentes Cuicuilco,Colonia,Metrobús,Perisur,01,39,11035,Intermedia,Coyoacán,2008,MB0139
09,Ciudad de México,012,Tlalpan,012-095,Peña Pobre,Colonia,Metrobús,Villa Olímpica,01,40,11046,Intermedia,Tlalpan,2008,MB0140
09,Ciudad de México,012,Tlalpan,012-137,Tlalpan,Colonia,Metrobús,Corregidora,01,41,11012,Intermedia,Tlalpan,2008,MB0141
09,Ciudad de México,012,Tlalpan,012-137,Tlalpan,Colonia,Metrobús,Ayuntamiento,01,42,11003,Intermedia,Tlalpan,2008,MB0142
09,Ciudad de México,012,Tlalpan,012-138,Tlalpan Centro,Colonia,Metrobús,Fuentes Brotantes,01,43,11021,Intermedia,Tlalpan,2008,MB0143
09,Ciudad de México,012,Tlalpan,012-138,Tlalpan Centro,Colonia,Metrobús,Santa Úrsula,01,44,11043,Intermedia,Tlalpan,2008,MB0144
09,Ciudad de México,012,Tlalpan,012-138,Tlalpan Centro,Colonia,Metrobús,La Joya,01,45,11027,Intermedia,Tlalpan,2008,MB0145
09,Ciudad de México,012,Tlalpan,012-058,La Joya,Colonia,Metrobús,El Caminero,01,46,11016,Terminal,Tlalpan,2008,MB0146
09,Ciudad de México,016,Miguel Hidalgo,016-081,Tacubaya,Colonia,Metrobús,Tacubaya,02,01,11077,Terminal,Miguel Hidalgo,2008,MB0201
09,Ciudad de México,016,Miguel Hidalgo,016-077,San Miguel Chapultepec I Seccion,Colonia,Metrobús,Parque Lira,02,02,11070,Intermedia,Miguel Hidalgo,2008,MB0202
09,Ciudad de México,016,Miguel Hidalgo,016-077,San Miguel Chapultepec I Seccion,Colonia,Metrobús,Antonio Maceo,02,03,11050,Intermedia,Miguel Hidalgo,2008,MB0203
09,Ciudad de México,015,Cuauhtémoc,015-016,Hipodromo Condesa,Colonia,Metrobús,De la Salle,02,04,11057,Intermedia,Cuauhtémoc / Miguel Hidalgo,2008,MB0204
09,Ciudad de México,015,Cuauhtémoc,015-015,Hipodromo,Colonia,Metrobús,Patriotismo,02,05,11071,Intermedia,Cuauhtémoc / Miguel Hidalgo,2008,MB0205
09,Ciudad de México,015,Cuauhtémoc,015-015,Hipodromo,Colonia,Metrobús,Escandón,02,06,11061,Intermedia,Cuauhtémoc / Miguel Hidalgo,2008,MB0206
09,Ciudad de México,015,Cuauhtémoc,015-015,Hipodromo,Colonia,Metrobús,Nuevo León,02,07,11069,Transbordo,Cuauhtémoc / Miguel Hidalgo,2008,MB0207
09,Ciudad de México,015,Cuauhtémoc,015-025,Roma Sur,Colonia,Metrobús,Viaducto,02,08,11081,Intermedia,Cuauhtémoc / Benito Juárez,2008,MB0208
09,Ciudad de México,014,Benito Juárez,014-014,Del Valle Norte,Colonia,Metrobús,Amores,02,09,11048,Intermedia,Benito Juárez,2008,MB0209
09,Ciudad de México,014,Benito Juárez,014-032,Narvarte Poniente,Colonia,Metrobús,Etiopía,02,10,11072,Terminal / Transbordo,Benito Juárez,2008,MB0210
09,Ciudad de México,014,Benito Juárez,014-031,Narvarte Oriente,Colonia,Metrobús,Doctor Vértiz,02,11,11059,Intermedia,Benito Juárez,2008,MB0211
09,Ciudad de México,014,Benito Juárez,014-031,Narvarte Oriente,Colonia,Metrobús,Centro SCOP,02,12,11054,Intermedia,Benito Juárez,2008,MB0212
09,Ciudad de México,014,Benito Juárez,014-004,Alamos,Colonia,Metrobús,Álamos,02,13,11047,Intermedia,Benito Juárez,2008,MB0213
09,Ciudad de México,014,Benito Juárez,014-004,Alamos,Colonia,Metrobús,Xola,02,14,11082,Intermedia,Benito Juárez,2008,MB0214
09,Ciudad de México,014,Benito Juárez,014-029,Moderna,Colonia,Metrobús,Las Américas,02,15,11066,Intermedia,Benito Juárez,2008,MB0215
09,Ciudad de México,006,Iztacalco,006-033,Nueva Santa Anita,Colonia,Metrobús,Andrés Molina Enríquez,02,16,11049,Intermedia,Iztacalco,2008,MB0216
09,Ciudad de México,006,Iztacalco,006-033,Nueva Santa Anita,Colonia,Metrobús,La Viga,02,17,11065,Intermedia,Iztacalco,2008,MB0217
09,Ciudad de México,006,Iztacalco,006-005,Barrio Los Reyes,Pueblos y Barrios Originarios,Metrobús,Coyuya,02,18,11056,Intermedia,Iztacalco,2008,MB0218
09,Ciudad de México,006,Iztacalco,006-023,Granjas Mexico,Colonia,Metrobús,Metro Coyuya,02,19,,Transbordo,Iztacalco,2008,MB0219
09,Ciudad de México,006,Iztacalco,006-023,Granjas Mexico,Colonia,Metrobús,Canela,02,20,11052,Intermedia,Iztacalco,2008,MB0220
09,Ciudad de México,006,Iztacalco,006-020,Gabriel Ramos Millan Secc Tlacotal,Colonia,Metrobús,Tlacotal,02,21,11079,Intermedia,Iztacalco,2008,MB0221
09,Ciudad de México,006,Iztacalco,006-023,Granjas Mexico,Colonia,Metrobús,Goma,02,22,11063,Intermedia,Iztacalco,2008,MB0222
